09/22/18 19:47:49 - Criando quadras do arquivo ./temp/tmp/35503081500_face.shp
ID: 26656924. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26659119. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26657844. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26656154. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26657663. Geometria multipla encontrada. "+                        "Forcando geometria unica.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26658840. Nao foi possivel criar a face.
ID: 26656275. Nao foi possivel criar a face.
ID: 26656275. Nao foi possivel criar a face.
